,prefix_v4,ips_v4,prefix_v6,48s_v6
42846,7,1792,0,0
24891,1,256,0,0
51174,1,256,0,0
204647,1,1024,1,524288
198511,1,256,0,0
42868,20,5120,0,0
201364,15,3840,0,0
44922,14,3584,1,65536
34684,7,1792,0,0
49027,1,256,0,0
204457,2,1280,0,0
210107,4,1024,11,720896
206561,1,1024,1,524288
42910,200,55296,3,1048577
61345,12,3072,2,2
61347,1,256,1,1
42926,345,89856,8,3735552
34736,1,256,0,0
208821,4,1024,0,0
204736,4,1024,0,0
34755,3,768,1,1
206806,1,256,0,0
42967,1,256,0,0
199333,1,256,0,0
49126,34,12544,0,0
61418,1,256,0,0
61420,1,256,0,0
208880,1,256,0,0
42999,1,256,0,0
52033,8,2048,0,0
